id,course_id,title,description,deadline,estimated_hours,priority,status,completed_at,created_at,updated_at
2,2,"Study Advanced SQL Joins","Study all SQL JOIN types","2026-08-16 20:00:00",3.00,mid,pending,,"2026-08-10 16:15:37","2026-08-10 16:25:52"
3,2,"Study SQL Joins","Study INNER JOIN, LEFT JOIN and RIGHT JOIN","2026-08-15 18:00:00",2.50,high,pending,,"2026-08-10 16:15:42","2026-08-10 16:15:42"
4,2,"Study SQL Joins","Study INNER JOIN, LEFT JOIN and RIGHT JOIN","2026-08-15 18:00:00",2.50,high,pending,,"2026-08-10 16:15:51","2026-08-10 16:15:51"
5,2,"Study SQL Joins","Study INNER JOIN, LEFT JOIN and RIGHT JOIN","2026-08-15 18:00:00",2.50,high,pending,,"2026-08-10 16:15:56","2026-08-10 16:15:56"
6,2,"Study SQL Joins","Study INNER JOIN, LEFT JOIN and RIGHT JOIN","2026-08-15 18:00:00",2.50,high,pending,,"2026-08-10 16:16:07","2026-08-10 16:16:07"
7,3,"Study SQL Joins","Study INNER JOIN, LEFT JOIN and RIGHT JOIN","2026-08-15 18:00:00",2.50,high,pending,,"2026-08-10 16:19:48","2026-08-10 16:19:48"
8,3,"Study SQL Joins","Study INNER JOIN, LEFT JOIN and RIGHT JOIN","2026-08-15 18:00:00",2.50,high,pending,,"2026-08-10 16:22:05","2026-08-10 16:22:05"
9,2,"Mollitia eligendi vo","Architecto ea tempor","1986-10-22 21:18:00",96.00,low,pending,,"2026-08-10 17:53:40","2026-08-10 17:53:40"
10,3,"Consequatur Provide","At ex officia blandi","2022-05-07 14:32:00",22.00,low,pending,,"2026-08-10 17:57:04","2026-08-10 17:57:04"
11,2,"SQL Joins","Study INNER JOIN, LEFT JOIN and RIGHT JOIN","2026-08-15 18:00:00",2.50,high,pending,,"2026-08-10 18:02:17","2026-08-10 18:02:17"
